FMID,MarketName,city,County,State,zip,x,y,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested
1011215,Cathedral Community Farm Stand,296 Flower City Park,Monroe,New York,14615,-77.6327462,43.1931226,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
1011626,El Mercado Familiar,Añasco,Anasco,Puerto Rico,610,-67.141614,18.286112,Y,N,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N
1004573,Abbeville Farmers Market,Abbeville,Abbeville,South Carolina,29620,-82.380242,34.177429,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N
1009028,ABBEVILLE FARMERS MARKET,Abbeville ,Henry,Alabama,,-85.250365,31.571271,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1004598,Abbotsford Farmers Market,Abbotsford,Clark,Wisconsin,54405,-90.307145,44.945665,N,Y,N,Y,N,-,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
1002947,Aberdeen Farmers Market,Aberdeen,Brown,South Dakota,57401,-98.4866,45.4631,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1019473,Aberdeen Sunday Market,Aberdeen,Grays Harbor,Washington,98520,-123.816413,46.972973,Y,Y,N,Y,Y,-,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N
1004031,Abilene Farmers Market,Abilene,Dickinson,Kansas,67410,-97.2139,38.9153,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1004512,Northside Farmers Market,Abilene,Taylor,Texas,79601,-99.7303,32.4513,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1010487,Abingdon Farmers Market,Abingdon ,Washington,Virginia,24210,-81.977094,36.708934,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y
1006988,Abington,Abington,Plymouth,Massachusetts,2351,-70.9369,42.119,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N
1019695,Abita Springs Art & Farmers Market ,Abita Springs ,St. Tammany,Louisiana,70420,-90.038907,30.479064,Y,N,N,N,N,-,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y
1009755,Choctaw County Farmers Market,Ackerman,Choctaw,Mississippi,39735,-89.1774145,33.3206934,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
1003469,Acton-Boxborough Farmers Market,Acton,Middlesex,Massachusetts,1720,-71.47415,42.47518,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N
1018003,Acushnet Farmers Market,Acushnet,Bristol,Massachusetts,2743,-70.900856,41.7200523,Y,Y,N,Y,Y,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,N
1007519,Acworth Farmers Market,Acworth,Cobb,Georgia,,-84.6767,34.0657,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1001393,Ada Farmer's Market,Ada,Pontotoc,Oklahoma,74820,-96.679869,34.773589,N,N,N,N,N,-,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
1001083,Ada Farmers' Market,Ada,Kent,Michigan,49301,-85.4889683,42.9553715,Y,N,N,N,Y,-,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N
1010467,Adairsville Farmers' Market,Adairsville,Bartow,Georgia,30103,-84.929569,34.375727,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N
1010354,Adams Farmers' & Artisans' Market,Adams,Berkshire,Massachusetts,1220,-73.118003,42.6244919,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N
1002464,Addison Farmers Market,Addison,DuPage,Illinois,60101,-87.9934,41.9321,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1005741,Adel Farmers Market,Adel,Dallas,Iowa,50830,-94.0175,41.6144,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1011641,El Mercado Familiar,Adjuntas,Adjuntas,Puerto Rico,601,-66.729934,18.166604,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N
1007668,Cass County Farmers' Market,Adrian,Bates,Missouri,64720,-94.3725,38.6591,N,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
1012288,Adrian Farmers Market,Adrian ,Lenawee,Michigan,49221,-84.034589,41.900169,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,Y,N,N,Y
1008104,Peachtree Farmers Market,Advance,Davie,North Carolina,27006,-80.444319,36.008732,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,N,N
1003539,Aventura  mall market,adventura,Miami-Dade,Florida,33138,-80.17362,25.87024,Y,N,N,N,N,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
1011649,El Mercado Familiar,Aguada,Aguada,Puerto Rico,601,-67.188389,18.380342,Y,N,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N
1011632,El Mercado Familiar,Aguadilla,Aguadilla,Puerto Rico,603,-67.154818,18.438445,Y,N,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N
1011644,El Mercado Familiar,Aguas Buenas,Aguas Buenas,Puerto Rico,703,-66.106423,18.258154,Y,N,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N
1011636,El Mercado Familiar,aibonito,Aibonito,Puerto Rico,705,-66.265701,18.139723,Y,N,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N
1005265,Halawa District Park (People's Open Market),Aiea,Honolulu,Hawaii,96701,-157.914948,21.373292,Y,N,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N
1008505,Pearlridge Farmers Market,Aiea ,Honolulu,Hawaii,96701,-157.941677,21.381691,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N
1000212,Aiken County Farmers Market,Aiken,Aiken,South Carolina,29801,-81.7084941,33.5568819,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1018618,North Central Farmers' Market,Ainsworth,Brown,Nebraska,69210,-99.8625258,42.5498949,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1011826,Authentically Ajo Farmers Market,Ajo ,Pima,Arizona,85321,-112.8622884,32.3726313,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y
1001801,Akron Farmers Market,Akron,Plymouth,Iowa,51031,-96.5573,42.8309,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1019530,Countryside Farmers' Market at Highland Square,Akron,Summit,Ohio,44302,-81.553272,41.098698,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N
1019531,Countryside Public Market,Akron,Summit,Ohio,44308,-81.515871,41.08885,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,Y,N,Y,N,N
1019258,Countryside Winter Farmers' Market,Akron,Summit,Ohio,44333,-81.589922,41.192676,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N
1019533,HAPI Fresh Farmers' Market ,Akron,Summit,Ohio,44304,-81.521429,41.080456,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N
1005075,Market at Lock 3,Akron,Summit,Ohio,44308,-81.520422,41.079982,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N
1019545,Summit Lake Neighborhood Farmers' Market,Akron,Summit,Ohio,44311,-81.542318,41.058965,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N
1017999,TALLMADGE FAMILY FARMERS MARKET,Akron,Summit,Ohio,44311,-81.4688767,41.1019246,Y,N,N,N,Y,-,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N
1019667,Downtown Alachua Farmer's Market,Alachua,Alachua,Florida,32615,-82.495552,29.790872,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,Y,Y,N,Y
1009019,Alameda Farmers' Market,Alameda,Alameda,California,,-122.276762,37.774248,Y,Y,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N
1004846,Alamo Farmers Market,Alamo,Lincoln,Nevada,89001,-115.1435,37.33075,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N
1004789,Alamogordo Otero County Farmers' Market,Alamogordo,Otero,New Mexico,,-105.9606,32.92649,N,N,N,N,N,-,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
1011033,Alamogordo Farmers' Market in Alameda Park,Alamogordo ,Otero,New Mexico,88310,-105.9609907,32.9140955,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,Y,N,N,N,Y,N,N
1004070,Alamosa Farmers Market,Alamosa,Alamosa,Colorado,81101,-105.865236,37.468359,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N
1004425,Albany  Downtown Farmers Market,Albany,Dougherty,Georgia,31702,-84.15366,31.57684,Y,N,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
1002175,Albany Farmers' Market,Albany,Linn,Oregon,97321,-123.1061,44.6349,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y
1019371,Albany IN Farmers Market,Albany,Delaware,Indiana,47320,-85.235831,40.299191,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
1007566,Clinton County Farmers' Market,Albany,Clinton,Kentucky,,-85.1347,36.6909,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1003691,Delaware Area Neighborhood Farmers Market,Albany,Albany,New York,,-73.9839,40.5767,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1000570,Downtown Albany Farmers Market,Albany,Albany,New York,,-73.9079,43.0013,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1004226,Empire State Plaza Farmers Market,Albany,Albany,New York,12242,-73.758667,42.651353,Y,Y,N,N,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N
1004225,Harriman State Campus Farmers Market,Albany,Albany,New York,,-73.80877,42.678318,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
1007669,Sage College Farmers Market,Albany,Albany County,New York,,-73.8336,42.65,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1007022,Watervliet Farmers Market,Albany,Albany County,New York,,-73.698,42.7304,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1007670,Whitehall Road Farmers Market,Albany,Albany County,New York,,-73.8061,42.6485,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1019499,Farm to Preschool Market: Mercy Cares for Kids,Albany ,Albany,New York,12206,-73.798353,42.665745,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1010194,Capital District Physicians' Health Plan Farmers Market,"Albany, NY",Albany,New York,12206,-73.805466,42.685543,Y,Y,N,Y,N,-,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N
1018211,Stanly Commons Farmers Market,Albemarle ,Stanly,North Carolina,28001,-80.197218,35.366184,Y,Y,N,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N
1011108,Albert Lea Farmers Market,Albert Lea,Freeborn,Minnesota,,-93.368932,43.650895,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N
1004886,ALBERTA FARMERS MARKET,ALBERTA,WILCOX,Alabama,36720,-87.4101,32.2319,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1004302,City of Albertville Farmers Market,Albertville,Marshall,Alabama,35950,-86.206775,34.267096,N,N,N,Y,N,-,Y,N,N,N,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N
1001243,Monroe County Farmers Market,Albia,Monroe,Iowa,52531,-92.8041,41.027,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1010559,Albion Farmer's Market,Albion,Cass,Michigan,49224,-84.751569,42.243544,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N
1003917,Edwards County Farmers Market,Albion,Edwards,Illinois,62806,-88.0586,38.3785,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1002476,Orleans County Farmers' Market - Save-A-Lot Plaza,Albion,Orleans,New York,14411,-78.20268,43.240635,N,Y,N,Y,N,-,N,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N
1004762,ABQ Uptown Growers' Market,Albququerque,Bernalillo,New Mexico,,-106.565838,35.103988,Y,Y,N,Y,Y,-,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
1004761,Albuquerque Northeast Farmers' Market,Albuquerque,Bernalillo,New Mexico,,-106.55762,35.1506,Y,Y,N,Y,Y,-,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
1007016,Albuquerque VA Growers' Market,Albuquerque,Bernalillo,New Mexico,,-106.578,35.0553,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1011122,Armijo Village Growers' Market,Albuquerque,Bernalillo,New Mexico,87105,-106.6776259,35.0526489,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N
1004773,Nob Hill Growers' Market,Albuquerque,Bernalillo,New Mexico,,-106.600449,35.077529,Y,Y,N,Y,Y,-,N,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
1004774,South Valley Growers' Market,Albuquerque,Bernalillo,New Mexico,,-106.68393,35.018812,N,Y,N,Y,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1010407,Albuquerque Downtown Growers' Market,Albuquerque ,Bernalillo,New Mexico,87102,-106.656893,35.085972,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y
1008252,Alderson Farmers Market ,Alderson ,Greenbrier,West Virginia,24910,-80.642024,37.725954,Y,N,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
1010268,Wellness Connection Farmer's Market,Aldi,Loudoun,Virginia,20105,-77.549401,38.9387742,Y,N,N,N,N,-,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N
1011910,Aledo Farmers Market,Aledo,Parker,Texas,76008,-97.602554,32.696496,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N
1002207,Main Street Farmers Market Downtown Aledo,Aledo,Mercer,Illinois,61231,-90.749087,41.200397,N,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N
1007237,MainStreet's Dowtown Farmers Market,Alexander City,Tallapoosa,Alabama,35010,-85.9547,32.9446,N,N,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N
1019113,Alexandria Farmers Market,Alexandria,Douglas,Minnesota,56308,-95.375902,45.890762,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N
1006428,Campbell County Farmers Market Association,Alexandria,Campbell,Kentucky,41001,-84.392748,38.977291,Y,Y,N,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N
1008571,Del Ray Farmers' Market,Alexandria,Alexandria,Virginia,22301,-77.058777,38.826863,Y,N,N,N,N,-,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N
1018231,Four Mile Run Farmers & Artisans Market,Alexandria,Alexandria,Virginia,22305,-77.063714,38.843302,Y,N,N,N,Y,-,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y
1011336,Old Town Alexandria Farmers' Market,Alexandria,Alexandria,Virginia,22314,-77.043015,38.804839,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,N
1012072,Smart Markets Huntington,Alexandria,Fairfax,Virginia,22003,-77.0770722,38.7894498,Y,N,N,N,N,-,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N
1005470,West End Farmers Market,Alexandria,Alexandria,Virginia,22304,-77.116073,38.807356,Y,N,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
1018643,Alexandria Farmers Market,Alexandria ,Rapides,Louisiana,71301,-92.466449,31.294132,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N
